,Year,FGOVX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.25,-0.82,-1.35,-1.43,-0.91,-0.91,-0.91,67.0
1,2000,12.63,11.63,10.86,1.0,1.77,1.77,1.77,7.0
2,2001,6.72,8.44,6.81,-1.72,-0.08,0.6,214.0,55.0
3,2002,10.93,10.26,9.23,0.68,1.71,0.68,284.0,11.0
4,2003,2.22,4.1,1.9,-1.89,0.32,0.65,253.0,28.0
5,2004,3.6,4.34,3.01,-0.74,0.59,0.63,0.63,26.0
6,2005,2.42,2.43,1.91,-0.01,0.51,0.58,114.0,22.0
7,2006,3.55,4.33,3.47,-0.78,0.09,0.44,108.0,45.0
8,2007,7.89,6.97,6.09,0.92,1.8,0.44,164.0,10.0
9,2008,11.01,5.24,4.76,5.77,6.25,0.45,269.0,9.0
10,2009,1.3,5.93,4.74,-4.63,-3.44,0.45,380.0,74.0
11,2010,5.11,6.54,5.66,-1.43,-0.55,0.45,355.0,58.0
12,2011,7.88,7.84,6.7,0.04,1.19,0.45,466.0,17.0
13,2012,2.68,4.21,2.8,-1.53,-0.11,0.45,222.0,44.0
14,2013,-2.58,-2.02,-2.72,-0.56,0.14,0.45,192.0,45.0
15,YTD,5.35,5.87,4.77,-0.51,0.58,0.45,131.0,26.0
