,Year,FGRAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2000,-25.83,-9.1,-13.05,-16.72,-12.78,1.24,149.0,88.0
1,2001,-22.59,-11.89,-22.3,-10.71,-0.29,1.25,158.0,58.0
2,2002,-35.74,-22.1,-27.64,-13.63,-8.09,1.5,121.0,88.0
3,2003,43.94,28.68,28.66,15.26,15.28,1.8,93.0,14.0
4,2004,17.31,10.88,7.81,6.43,9.5,1.62,1.62,21.0
5,2005,11.07,4.91,6.71,6.15,4.35,1.51,157.0,42.0
6,2006,6.76,15.79,7.05,-9.03,-0.29,1.39,183.0,64.0
7,2007,20.93,5.49,13.35,15.43,7.57,1.38,176.0,24.0
8,2008,-40.08,-37.0,-40.67,-3.09,0.58,1.26,133.0,23.0
9,2009,43.56,26.46,35.68,17.1,7.88,1.32,90.0,36.0
10,2010,21.64,15.06,15.53,6.58,6.11,1.24,67.0,72.0
11,2011,-3.43,2.11,-2.46,-5.55,-0.97,1.28,70.0,45.0
12,2012,10.44,16.0,15.34,-5.56,-4.9,1.28,64.0,93.0
13,2013,39.65,32.39,33.92,7.26,5.73,1.25,59.0,11.0
14,YTD,9.64,13.98,10.79,-4.33,-1.14,1.17,37.0,67.0
