,Year,FGTIX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,41.17,13.49,20.12,27.67,21.05,0.75,208.0,7.0
1,2000,-5.13,1.68,-1.68,-6.81,-3.46,-3.46,74.0,78.0
2,2001,-11.33,-2.46,-9.67,-8.87,-1.66,0.85,59.0,74.0
3,2002,-14.65,-6.69,-14.51,-7.96,-0.14,0.93,14.0,46.0
4,2003,30.11,22.48,25.1,7.63,5.01,0.92,22.0,2.0
5,2004,11.28,11.48,10.93,-0.2,0.35,1.7,1.7,49.0
6,2005,8.47,7.04,7.35,1.42,1.11,0.72,11.0,17.0
7,2006,13.9,12.95,13.07,0.94,0.83,0.5,9.0,32.0
8,2007,10.58,8.63,7.43,1.95,3.15,0.5,10.0,13.0
9,2008,-30.75,-22.19,-34.34,-8.56,3.58,0.51,9.0,13.0
10,2009,31.08,21.77,29.37,9.31,1.72,0.5,17.0,31.0
11,2010,14.31,12.33,13.49,1.97,0.82,0.5,17.0,33.0
12,2011,-3.15,0.59,-3.8,-3.74,0.66,0.5,20.0,48.0
13,2012,10.52,12.04,13.42,-1.52,-2.9,0.5,31.0,85.0
14,2013,20.98,14.31,21.31,6.67,-0.33,0.59,30.0,55.0
15,YTD,6.02,5.81,6.72,0.22,-0.69,-0.69,-0.69,55.0
