,Year,FHIFX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,2.81,2.43,2.59,0.38,0.22,0.84,134.0,41.0
1,2006,8.54,4.33,10.14,4.2,-1.6,0.85,81.0,84.0
2,2007,3.05,6.97,1.47,-3.92,1.58,0.85,71.0,19.0
3,2008,-20.5,5.24,-26.41,-25.74,5.91,0.85,69.0,17.0
4,2009,35.07,5.93,46.7,29.14,-11.63,0.85,44.0,88.0
5,2010,12.04,6.54,14.24,5.5,-2.2,0.79,93.0,88.0
6,2011,5.88,7.84,2.83,-1.96,3.05,0.81,48.0,5.0
7,2012,11.67,4.21,14.67,7.46,-3.0,0.82,52.0,89.0
8,2013,4.44,-2.02,6.9,6.46,-2.46,0.81,47.0,93.0
9,YTD,3.73,5.87,2.83,-2.14,0.9,0.83,77.0,27.0
