,Year,FHKCX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,84.9,30.63,64.81,54.27,20.1,20.1,84.0,1.0
1,2000,-17.58,-15.31,-13.77,-2.27,-3.81,1.21,103.0,63.0
2,2001,-10.49,-19.73,-7.02,9.24,-3.47,1.3,75.0,46.0
3,2002,-15.08,-14.95,-8.68,-0.13,-6.4,1.31,47.0,71.0
4,2003,45.49,40.83,64.65,4.66,-19.16,1.3,1.3,96.0
5,2004,11.55,20.91,8.92,-9.36,2.62,1.22,1.22,52.0
6,2005,14.46,16.62,8.4,-2.16,6.06,1.12,44.0,17.0
7,2006,29.67,26.65,63.12,3.02,-33.45,1.08,36.0,97.0
8,2007,46.26,16.65,55.45,29.61,-9.18,0.92,173.0,79.0
9,2008,-44.85,-45.53,-52.09,0.68,7.24,0.96,133.0,14.0
10,2009,65.55,41.45,64.47,24.1,1.08,1.03,88.0,24.0
11,2010,18.0,11.15,13.39,6.85,4.61,1.0,57.0,16.0
12,2011,-20.35,-13.71,-24.95,-6.64,4.6,0.98,87.0,25.0
13,2012,22.98,16.83,18.42,6.15,4.56,0.98,107.0,27.0
14,2013,22.13,15.29,10.71,6.84,11.42,0.98,92.0,7.0
15,YTD,3.55,-0.27,2.72,3.83,0.83,0.83,0.83,35.0
