,Year,FICNX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.1,-2.06,-2.66,-0.04,0.56,0.49,23.0,3.0
1,2000,10.96,11.68,9.62,-0.73,1.33,0.42,27.0,45.0
2,2001,4.9,5.13,4.37,-0.23,0.53,0.41,23.0,22.0
3,2002,10.04,9.6,8.12,0.44,1.92,0.46,18.0,2.0
4,2003,5.0,5.31,4.03,-0.31,0.97,0.49,0.49,17.0
5,2004,3.47,4.48,2.88,-1.01,0.6,0.48,0.48,26.0
6,2005,2.21,3.51,2.08,-1.31,0.13,0.47,16.0,45.0
7,2006,4.0,4.84,3.77,-0.84,0.23,0.42,23.0,33.0
8,2007,3.76,3.36,2.05,0.4,1.71,0.44,11.0,10.0
9,2008,-1.11,-2.47,-2.81,1.37,1.7,0.44,15.0,40.0
10,2009,10.96,12.91,11.29,-1.95,-0.33,0.48,15.0,43.0
11,2010,2.18,2.38,1.65,-0.2,0.53,0.48,12.0,25.0
12,2011,10.03,10.7,8.9,-0.67,1.13,0.48,14.0,20.0
13,2012,4.61,6.78,4.75,-2.17,-0.14,0.48,14.0,48.0
14,2013,-2.6,-2.55,-2.82,-0.04,0.23,0.48,14.0,53.0
15,YTD,7.96,8.5,6.39,-0.54,1.57,1.57,1.57,22.0
