,Year,FIEUX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,18.69,30.63,30.54,-11.94,-11.85,0.89,106.0,76.0
1,2000,-9.14,-15.31,-9.12,6.18,-0.02,1.05,144.0,56.0
2,2001,-16.03,-19.73,-19.15,3.71,3.12,0.99,123.0,16.0
3,2002,-25.46,-14.95,-13.89,-10.51,-11.56,1.13,127.0,95.0
4,2003,46.91,40.83,39.0,6.08,7.9,0.98,0.98,15.0
5,2004,28.95,20.91,21.4,8.04,7.55,1.05,1.05,22.0
6,2005,18.17,16.62,15.27,1.55,2.89,1.07,99.0,19.0
7,2006,25.18,26.65,33.56,-1.47,-8.37,1.05,127.0,92.0
8,2007,16.41,16.65,12.52,-0.24,3.9,1.01,100.0,15.0
9,2008,-44.02,-45.53,-49.79,1.5,5.76,0.95,100.0,18.0
10,2009,31.65,41.45,47.32,-9.8,-15.67,1.04,135.0,59.0
11,2010,8.56,11.15,10.51,-2.59,-1.96,1.04,136.0,54.0
12,2011,-16.76,-13.71,-15.15,-3.06,-1.62,1.06,117.0,67.0
13,2012,25.52,16.83,20.94,8.69,4.58,0.8,127.0,16.0
14,2013,26.31,15.29,26.52,11.02,-0.22,1.02,59.0,47.0
15,YTD,-4.17,-0.27,-4.09,-3.89,-0.08,-0.08,-0.08,52.0
