,Year,FIIAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,,,,,,1.3,1.3,1.3
1,2005,17.21,4.91,9.84,12.3,7.37,1.18,111.0,6.0
2,2006,11.83,15.79,9.0,-3.97,2.83,1.2,151.0,29.0
3,2007,15.02,5.49,15.09,9.52,-0.07,1.13,111.0,48.0
4,2008,-39.3,-37.0,-43.77,-2.3,4.48,1.21,147.0,19.0
5,2009,38.17,26.46,39.11,11.71,-0.94,1.17,60.0,59.0
6,2010,26.56,15.06,24.61,11.49,1.94,1.15,42.0,39.0
7,2011,-10.5,2.11,-3.96,-12.61,-6.54,1.15,80.0,91.0
8,2012,14.41,16.0,14.07,-1.59,0.34,1.13,186.0,47.0
9,2013,35.43,32.39,34.93,3.05,0.51,1.09,134.0,47.0
10,YTD,5.74,13.98,6.96,-8.24,-1.22,-1.22,-1.22,65.0
