,Year,FINEX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,25.27,30.63,45.36,-5.36,-20.09,1.65,19.0,65.0
1,2000,-3.25,-15.31,-7.54,12.06,4.28,1.58,37.0,36.0
2,2001,-6.73,-19.73,-11.74,13.0,5.0,1.67,29.0,37.0
3,2002,-3.57,-14.95,-5.48,11.38,1.91,1.63,27.0,43.0
4,2003,46.66,40.83,49.12,5.83,-2.46,1.52,1.52,70.0
5,2004,19.81,20.91,23.91,-1.09,-4.09,1.63,1.63,73.0
6,2005,11.22,16.62,18.16,-5.4,-6.94,1.57,37.0,89.0
7,2006,23.86,26.65,26.48,-2.79,-2.61,1.5,34.0,69.0
8,2007,8.1,16.65,5.01,-8.55,3.09,1.4,28.0,40.0
9,2008,-52.21,-45.53,-47.29,-6.68,-4.92,1.53,13.0,85.0
10,2009,70.84,41.45,44.06,29.39,26.78,1.71,33.0,5.0
11,2010,24.91,11.15,21.0,13.75,3.91,1.59,20.0,14.0
12,2011,-20.81,-13.71,-15.99,-7.1,-4.81,1.55,50.0,81.0
13,2012,20.14,16.83,21.38,3.31,-1.24,1.65,58.0,72.0
14,2013,21.72,15.29,25.71,6.43,-3.99,1.65,43.0,87.0
15,YTD,-9.51,-0.27,-4.94,-9.24,-4.57,-4.57,-4.57,78.0
