,Year,FINPX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2002,,,,,,0.5,0.5,0.5
1,2003,7.75,4.1,7.15,3.65,0.61,0.5,211.0,38.0
2,2004,8.24,4.34,7.48,3.9,0.76,0.5,0.5,32.0
3,2005,2.16,2.43,2.09,-0.27,0.07,0.5,117.0,49.0
4,2006,0.24,4.33,0.09,-4.1,0.15,0.45,71.0,27.0
5,2007,9.05,6.97,9.86,2.09,-0.81,0.45,34.0,82.0
6,2008,-2.32,5.24,-4.08,-7.56,1.76,0.45,35.0,46.0
7,2009,9.7,5.93,10.88,3.77,-1.18,0.45,43.0,62.0
8,2010,5.89,6.54,5.94,-0.65,-0.05,0.45,16.0,47.0
9,2011,12.99,7.84,10.93,5.15,2.06,0.45,22.0,18.0
10,2012,6.49,4.21,6.45,2.27,0.04,0.45,24.0,43.0
11,2013,-9.06,-2.02,-7.85,-7.04,-1.21,0.45,18.0,62.0
12,YTD,4.66,5.87,3.23,-1.2,1.43,0.45,16.0,16.0
