,Year,FISAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,4.39,-0.82,1.49,5.21,2.9,0.96,23.0,4.0
1,2000,6.7,11.63,8.3,-4.93,-1.6,1.0,13.0,58.0
2,2001,6.45,8.44,7.26,-2.0,-0.81,0.95,2.0,22.0
3,2002,3.42,10.26,6.85,-6.84,-3.43,0.88,85.0,24.0
4,2003,1.22,4.1,1.45,-2.88,-0.23,0.88,0.88,77.0
5,2004,1.79,4.34,1.46,-2.54,0.34,0.89,0.89,17.0
6,2005,2.06,2.43,1.26,-0.37,0.81,0.9,25.0,79.0
7,2006,4.16,4.33,3.67,-0.17,0.49,0.89,16.0,80.0
8,2007,5.03,6.97,5.87,-1.94,-0.84,0.91,27.0,16.0
9,2008,3.58,5.24,4.8,-1.66,-1.22,0.9,24.0,8.0
10,2009,4.35,5.93,3.29,-1.58,1.06,0.87,22.0,64.0
11,2010,1.29,6.54,3.04,-5.26,-1.76,0.86,43.0,61.0
12,2011,1.72,7.84,2.09,-6.12,-0.37,0.86,20.0,50.0
13,2012,1.42,4.21,1.06,-2.79,0.37,0.87,10.0,36.0
14,2013,-0.16,-2.02,-0.79,1.87,0.64,0.87,9.0,18.0
15,YTD,0.55,5.87,1.2,-5.32,-0.65,-0.65,-0.65,73.0
