,Year,FISCX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,21.15,13.49,29.21,7.66,-8.06,1.05,148.0,69.0
1,2000,15.36,1.68,2.52,13.68,12.84,1.05,177.0,1.0
2,2001,0.81,-2.46,-6.57,3.28,7.39,1.0,163.0,10.0
3,2002,-15.55,-6.69,-7.77,-8.86,-7.78,1.0,91.0,94.0
4,2003,35.44,22.48,26.24,12.97,9.2,0.98,0.98,8.0
5,2004,16.02,11.48,9.03,4.54,6.99,0.89,0.89,1.0
6,2005,6.93,7.04,3.59,-0.11,3.35,0.88,35.0,16.0
7,2006,12.15,12.95,10.72,-0.8,1.43,0.86,31.0,25.0
8,2007,0.5,8.63,7.51,-8.13,-7.01,0.87,18.0,96.0
9,2008,-35.38,-22.19,-33.38,-13.19,-2.0,0.89,38.0,70.0
10,2009,49.72,21.77,40.58,27.94,9.14,0.96,47.0,13.0
11,2010,20.5,12.33,16.77,8.17,3.73,0.9,30.0,9.0
12,2011,-5.58,0.59,-5.62,-6.17,0.04,0.88,23.0,52.0
13,2012,13.39,12.04,10.92,1.35,2.47,0.9,13.0,25.0
14,2013,23.2,14.31,21.66,8.9,1.54,0.88,35.0,43.0
15,YTD,6.24,5.81,7.39,0.43,-1.15,-1.15,-1.15,67.0
