,Year,FISMX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2002,,,,,,1.8,10.0,10.0
1,2003,80.25,40.83,54.17,39.42,26.08,1.51,1.51,6.0
2,2004,29.43,20.91,24.38,8.52,5.05,1.28,1.28,25.0
3,2005,29.47,16.62,24.86,12.85,4.6,1.25,79.0,27.0
4,2006,14.22,26.65,26.79,-12.44,-12.57,1.22,84.0,91.0
5,2007,13.21,16.65,12.03,-3.44,1.18,1.15,70.0,46.0
6,2008,-46.54,-45.53,-49.02,-1.01,2.49,1.44,113.0,40.0
7,2009,45.5,41.45,49.24,4.05,-3.74,1.44,81.0,60.0
8,2010,25.4,11.15,23.04,14.25,2.36,1.42,66.0,25.0
9,2011,-15.53,-13.71,-14.72,-1.83,-0.82,1.23,47.0,56.0
10,2012,18.89,16.83,22.2,2.06,-3.31,1.22,68.0,84.0
11,2013,35.11,15.29,26.61,19.83,8.51,1.31,54.0,12.0
12,YTD,-5.52,-0.27,-3.86,-5.25,-1.67,-1.67,-1.67,65.0
