,Year,FIUIX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,26.75,24.93,15.87,1.81,10.88,10.88,10.88,26.0
1,2000,-20.46,-13.18,8.42,-7.28,-28.89,-28.89,-28.89,93.0
2,2001,-15.19,-16.82,-20.74,1.64,5.55,5.55,5.55,25.0
3,2002,-26.64,-19.89,-23.82,-6.75,-2.82,0.89,0.89,71.0
4,2003,20.88,33.11,23.65,-12.23,-2.76,0.95,0.95,56.0
5,2004,21.13,14.72,23.96,6.41,-2.83,0.73,0.73,71.0
6,2005,9.9,9.49,13.59,0.42,-3.68,0.85,0.85,72.0
7,2006,30.52,20.07,26.03,10.46,4.49,0.84,66.0,25.0
8,2007,10.83,9.04,20.39,1.8,-9.56,-9.56,94.0,95.0
9,2008,-34.55,-40.71,-33.87,6.16,-0.68,0.82,112.0,59.0
10,2009,11.08,29.99,17.82,-18.91,-6.75,0.77,216.0,86.0
11,2010,17.33,11.76,8.6,5.56,8.72,0.56,224.0,1.0
12,2011,11.87,-5.54,10.58,17.41,1.3,0.6,201.0,47.0
13,2012,10.07,15.83,6.9,-5.76,3.17,0.78,96.0,28.0
14,2013,20.5,26.68,18.37,-6.17,2.13,0.78,96.0,21.0
15,YTD,15.25,6.66,16.85,8.59,-1.6,0.76,121.0,64.0
