,Year,FIVFX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,58.88,30.63,49.56,28.25,9.33,1.14,173.0,34.0
1,2000,-30.98,-15.31,-21.04,-15.67,-9.94,1.16,344.0,93.0
2,2001,-8.86,-19.73,-24.05,10.88,15.19,1.02,242.0,1.0
3,2002,-11.02,-14.95,-19.15,3.93,8.13,1.4,219.0,6.0
4,2003,42.73,40.83,33.83,1.9,8.9,1.16,1.16,9.0
5,2004,10.27,20.91,16.23,-10.63,-5.96,1.16,1.16,95.0
6,2005,13.88,16.62,15.23,-2.74,-1.35,0.84,185.0,58.0
7,2006,15.44,26.65,23.95,-11.21,-8.51,0.75,176.0,97.0
8,2007,5.2,16.65,16.26,-11.45,-11.06,0.79,138.0,97.0
9,2008,-50.67,-45.53,-46.56,-5.14,-4.1,0.72,387.0,77.0
10,2009,55.18,41.45,38.02,13.73,17.16,0.72,387.0,9.0
11,2010,15.87,11.15,14.78,4.72,1.09,0.87,480.0,30.0
12,2011,-12.77,-13.71,-12.3,0.94,-0.47,1.09,254.0,57.0
13,2012,25.89,16.83,17.7,9.06,8.19,1.19,127.0,1.0
14,2013,21.65,15.29,18.58,6.37,3.07,1.12,136.0,30.0
15,YTD,4.72,-0.27,-0.63,4.99,5.34,5.34,5.34,6.0
