,Year,FJPNX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,146.07,30.63,110.08,115.44,36.0,1.23,79.0,26.0
1,2000,-36.48,-15.31,-35.86,-21.17,-0.62,1.16,124.0,65.0
2,2001,-33.82,-19.73,-31.38,-14.08,-2.44,1.4,75.0,73.0
3,2002,-7.36,-14.95,-14.18,7.59,6.82,1.5,76.0,8.0
4,2003,37.02,40.83,38.14,-3.81,-1.13,1.03,1.03,67.0
5,2004,10.92,20.91,13.96,-9.99,-3.04,1.04,1.04,60.0
6,2005,42.68,16.62,32.69,26.06,9.99,1.02,74.0,13.0
7,2006,-5.02,26.65,-1.75,-31.67,-3.26,1.05,78.0,63.0
8,2007,-2.68,16.65,-9.1,-19.33,6.43,1.06,158.0,13.0
9,2008,-36.81,-45.53,-35.14,8.72,-1.67,1.1,78.0,62.0
10,2009,15.33,41.45,7.42,-26.12,7.91,0.89,73.0,13.0
11,2010,14.7,11.15,11.94,3.55,2.76,0.93,43.0,43.0
12,2011,-15.85,-13.71,-13.46,-2.14,-2.39,0.8,134.0,71.0
13,2012,9.44,16.83,11.27,-7.39,-1.83,1.04,52.0,38.0
14,2013,23.65,15.29,26.7,8.37,-3.04,0.91,68.0,70.0
15,YTD,-5.48,-0.27,-2.13,-5.21,-3.35,-3.35,-3.35,68.0
