,Year,FJSCX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,237.41,30.63,110.08,206.79,127.34,1.07,39.0,6.0
1,2000,-50.23,-15.31,-35.86,-34.91,-14.36,1.06,39.0,82.0
2,2001,-20.05,-19.73,-31.38,-0.32,11.33,1.19,52.0,3.0
3,2002,0.94,-14.95,-14.18,15.89,15.12,1.19,44.0,3.0
4,2003,60.89,40.83,38.14,20.06,22.75,1.12,1.12,1.0
5,2004,22.29,20.91,13.96,1.38,8.33,1.04,1.04,8.0
6,2005,41.36,16.62,32.69,24.74,8.67,1.01,65.0,15.0
7,2006,-21.54,26.65,-1.75,-48.19,-19.79,1.01,98.0,100.0
8,2007,-12.35,16.65,-9.1,-29.01,-3.25,1.0,76.0,81.0
9,2008,-34.49,-45.53,-35.14,11.03,0.64,1.03,86.0,54.0
10,2009,18.08,41.45,7.42,-23.37,10.66,1.14,183.0,1.0
11,2010,12.25,11.15,11.94,1.1,0.31,1.09,78.0,67.0
12,2011,-5.79,-13.71,-13.46,7.92,7.67,1.01,133.0,11.0
13,2012,8.75,16.83,11.27,-8.08,-2.52,1.02,86.0,50.0
14,2013,51.82,15.29,26.7,36.54,25.13,0.98,91.0,1.0
15,YTD,-7.37,-0.27,-2.13,-7.1,-5.23,-5.23,-5.23,100.0
