,Year,FKBAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.91,-0.82,-1.35,-0.09,0.44,0.5,96.0,36.0
1,2000,10.64,11.63,9.44,-0.98,1.21,1.21,1.21,35.0
2,2001,6.75,8.44,7.64,-1.7,-0.9,-0.9,94.0,75.0
3,2002,8.19,10.26,8.04,-2.06,0.15,0.68,95.0,58.0
4,2003,7.9,4.1,5.1,3.79,2.79,0.68,0.68,14.0
5,2004,5.27,4.34,3.91,0.93,1.35,0.8,0.8,10.0
6,2005,1.8,2.43,1.8,-0.63,-0.0,0.85,58.0,52.0
7,2006,4.86,4.33,4.15,0.53,0.71,0.85,252.0,17.0
8,2007,4.86,6.97,4.7,-2.11,0.15,0.85,313.0,59.0
9,2008,-5.48,5.24,-4.7,-10.72,-0.78,0.85,300.0,56.0
10,2009,15.39,5.93,13.97,9.46,1.42,0.85,188.0,35.0
11,2010,10.13,6.54,7.72,3.59,2.42,0.87,132.0,12.0
12,2011,5.52,7.84,5.86,-2.32,-0.34,0.88,256.0,69.0
13,2012,8.33,4.21,7.01,4.12,1.32,0.88,315.0,29.0
14,2013,-0.98,-2.02,-1.42,1.04,0.45,0.88,372.0,29.0
15,YTD,5.97,5.87,5.34,0.1,0.62,0.62,0.62,30.0
