,Year,FKINX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.74,13.49,5.85,-14.23,-6.59,-6.59,17.0,95.0
1,2000,20.59,1.68,4.28,18.91,16.31,0.76,24.0,1.0
2,2001,0.65,-2.46,-0.39,3.12,1.04,0.73,28.0,39.0
3,2002,-1.06,-6.69,-3.11,5.63,2.05,0.72,51.0,27.0
4,2003,30.96,22.48,12.34,8.48,18.62,0.73,48.0,1.0
5,2004,12.17,11.48,5.46,0.69,6.72,0.68,0.68,1.0
6,2005,1.85,7.04,2.97,-5.19,-1.12,0.65,29.0,75.0
7,2006,19.12,12.95,8.16,6.17,10.96,0.64,28.0,2.0
8,2007,5.31,8.63,4.53,-3.32,0.78,0.63,25.0,41.0
9,2008,-30.51,-22.19,-18.61,-8.32,-11.9,0.62,40.0,96.0
10,2009,35.01,21.77,20.77,13.23,14.23,0.68,51.0,3.0
11,2010,12.91,12.33,10.03,0.58,2.88,0.65,47.0,10.0
12,2011,2.83,0.59,1.7,2.23,1.12,0.63,36.0,26.0
13,2012,13.68,12.04,9.4,1.64,4.28,0.64,33.0,6.0
14,2013,14.23,14.31,7.23,-0.08,7.0,0.62,38.0,4.0
15,YTD,5.85,5.81,4.98,0.04,0.87,0.61,36.0,29.0
