,Year,FKLAX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.88,-2.06,-4.34,-1.82,0.46,0.75,15.0,39.0
1,2000,11.7,11.68,11.02,0.02,0.68,0.74,27.0,23.0
2,2001,4.91,5.13,4.32,-0.21,0.6,0.74,9.0,21.0
3,2002,8.25,9.6,8.53,-1.35,-0.28,0.74,10.0,56.0
4,2003,5.17,5.31,4.79,-0.15,0.38,0.74,13.0,29.0
5,2004,5.35,4.48,3.84,0.87,1.51,0.73,0.73,9.0
6,2005,2.75,3.51,2.96,-0.76,-0.21,-0.21,-0.21,56.0
7,2006,5.12,4.84,4.41,0.27,0.7,0.73,10.0,18.0
8,2007,2.73,3.36,1.65,-0.63,1.08,0.73,6.0,16.0
9,2008,-8.03,-2.47,-10.07,-5.56,2.04,0.71,12.0,53.0
10,2009,16.72,12.91,19.1,3.8,-2.38,0.71,12.0,49.0
11,2010,1.14,2.38,1.18,-1.24,-0.04,0.69,4.0,55.0
12,2011,12.0,10.7,10.2,1.3,1.8,0.68,13.0,12.0
13,2012,7.08,6.78,7.57,0.3,-0.5,0.68,7.0,58.0
14,2013,-5.35,-2.55,-5.66,-2.79,0.31,0.67,10.0,54.0
15,YTD,9.16,8.5,9.57,0.65,-0.41,0.67,17.0,52.0
