,Year,FKNIX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-1.59,-2.06,-2.76,0.47,1.16,1.16,18.0,27.0
1,2000,10.39,11.68,9.9,-1.3,0.48,0.48,20.0,40.0
2,2001,4.4,5.13,3.9,-0.72,0.5,0.45,20.0,28.0
3,2002,9.49,9.6,8.65,-0.11,0.84,0.6,9.0,27.0
4,2003,4.84,5.31,4.21,-0.48,0.63,0.6,0.6,21.0
5,2004,3.18,4.48,2.69,-1.3,0.48,0.67,0.67,33.0
6,2005,1.53,3.51,1.93,-1.98,-0.4,0.74,5.0,59.0
7,2006,3.62,4.84,3.63,-1.22,-0.01,0.75,30.0,42.0
8,2007,3.21,3.36,2.79,-0.15,0.42,0.74,21.0,36.0
9,2008,-0.75,-2.47,-2.53,1.72,1.78,0.73,8.0,48.0
10,2009,9.31,12.91,10.89,-3.6,-1.58,0.71,13.0,61.0
11,2010,2.8,2.38,1.68,0.42,1.12,0.68,5.0,9.0
12,2011,10.91,10.7,8.58,0.21,2.33,0.66,7.0,3.0
13,2012,4.91,6.78,4.55,-1.87,0.36,0.66,5.0,38.0
14,2013,-2.63,-2.55,-2.31,-0.08,-0.33,0.65,10.0,67.0
15,YTD,6.7,8.5,5.85,-1.8,0.85,0.66,9.0,26.0
