,Year,FKUTX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-15.0,24.93,15.87,-39.94,-30.87,-30.87,34.0,97.0
1,2000,41.61,-13.18,8.42,54.79,33.19,0.83,20.0,4.0
2,2001,-8.09,-16.82,-20.74,8.74,12.65,0.79,34.0,2.0
3,2002,-10.48,-19.89,-23.82,9.41,13.34,0.8,31.0,2.0
4,2003,19.3,33.11,23.65,-13.81,-4.34,0.83,26.0,67.0
5,2004,23.14,14.72,23.96,8.42,-0.82,0.8,0.8,52.0
6,2005,10.74,9.49,13.59,1.26,-2.84,0.78,14.0,63.0
7,2006,23.89,20.07,26.03,3.82,-2.14,0.76,8.0,69.0
8,2007,16.42,9.04,20.39,7.39,-3.97,0.75,11.0,86.0
9,2008,-25.6,-40.71,-33.87,15.11,8.27,0.74,8.0,6.0
10,2009,13.82,29.99,17.82,-16.16,-4.0,0.8,15.0,64.0
11,2010,6.85,11.76,8.6,-4.92,-1.75,0.78,5.0,56.0
12,2011,19.44,-5.54,10.58,24.98,8.87,0.76,5.0,6.0
13,2012,5.65,15.83,6.9,-10.18,-1.25,0.76,1.0,50.0
14,2013,13.71,26.68,18.37,-12.97,-4.67,0.75,5.0,80.0
15,YTD,21.95,6.66,16.85,15.29,5.1,0.75,8.0,5.0
