,Year,FLCIX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,8.42,21.04,38.87,-12.62,-30.45,1.08,61.0,88.0
1,2000,-1.7,-9.1,-13.05,7.4,11.35,11.35,9.0,22.0
2,2001,-10.89,-11.89,-22.3,0.99,11.41,1.03,38.0,27.0
3,2002,-21.33,-22.1,-27.64,0.77,6.32,1.03,64.0,33.0
4,2003,26.46,28.68,28.66,-2.23,-2.2,1.03,33.0,58.0
5,2004,11.3,10.88,7.81,0.42,3.49,0.98,0.98,30.0
6,2005,4.43,4.91,6.71,-0.48,-2.28,1.01,47.0,67.0
7,2006,11.32,15.79,7.05,-4.47,4.27,1.02,55.0,86.0
8,2007,11.56,5.49,13.35,6.07,-1.79,1.03,42.0,12.0
9,2008,-38.8,-37.0,-40.67,-1.8,1.87,1.03,52.0,65.0
10,2009,29.23,26.46,35.68,2.77,-6.45,0.97,71.0,75.0
11,2010,14.89,15.06,15.53,-0.17,-0.64,0.95,36.0,53.0
12,2011,-3.77,2.11,-2.46,-5.88,-1.31,0.95,25.0,63.0
13,2012,13.6,16.0,15.34,-2.4,-1.74,0.95,22.0,67.0
14,2013,31.36,32.39,33.92,-1.03,-2.56,0.95,34.0,71.0
15,YTD,7.67,13.98,10.79,-6.31,-3.12,0.95,50.0,83.0
