,Year,FLCSX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,30.2,21.04,20.16,9.16,10.04,10.04,10.04,60.0
1,2000,-14.53,-9.1,-6.31,-5.42,-8.22,0.89,99.0,54.0
2,2001,-17.75,-11.89,-13.5,-5.86,-4.25,0.87,118.0,33.0
3,2002,-23.04,-22.1,-22.25,-0.94,-0.79,0.87,99.0,21.0
4,2003,25.16,28.68,27.05,-3.53,-1.89,0.78,86.0,65.0
5,2004,6.37,10.88,10.02,-4.51,-3.66,0.76,0.76,62.0
6,2005,7.48,4.91,5.88,2.57,1.6,0.75,55.0,39.0
7,2006,12.96,15.79,14.17,-2.83,-1.2,0.73,154.0,10.0
8,2007,13.09,5.49,6.16,7.6,6.93,0.81,96.0,48.0
9,2008,-47.46,-37.0,-37.79,-10.46,-9.66,0.97,120.0,91.0
10,2009,50.45,26.46,28.17,23.98,22.27,0.83,159.0,7.0
11,2010,18.22,15.06,14.01,3.16,4.22,1.02,186.0,26.0
12,2011,-1.62,2.11,-1.27,-3.73,-0.35,0.93,108.0,58.0
13,2012,20.71,16.0,14.96,4.71,5.75,1.02,64.0,4.0
14,2013,39.24,32.39,31.5,6.86,7.74,0.84,53.0,5.0
15,YTD,11.0,13.98,11.28,-2.98,-0.28,0.88,31.0,62.0
