,Year,FLMVX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,13.87,21.04,8.5,-7.17,5.37,5.37,5.37,28.0
1,2000,35.28,-9.1,18.45,44.39,16.84,16.84,99.0,9.0
2,2001,9.91,-11.89,6.67,21.79,3.24,0.75,98.0,34.0
3,2002,3.23,-22.1,-13.25,25.33,16.48,0.75,51.0,1.0
4,2003,30.62,28.68,33.85,1.93,-3.23,0.75,0.75,60.0
5,2004,20.99,10.88,17.85,10.1,3.14,0.75,0.75,28.0
6,2005,9.41,4.91,8.82,4.5,0.6,0.75,45.0,53.0
7,2006,17.33,15.79,15.87,1.53,1.45,0.75,20.0,30.0
8,2007,2.83,5.49,0.83,-2.66,2.01,0.75,45.0,33.0
9,2008,-32.9,-37.0,-36.77,4.1,3.87,0.75,31.0,20.0
10,2009,26.75,26.46,35.41,0.29,-8.66,0.75,47.0,82.0
11,2010,23.34,15.06,21.92,8.28,1.42,0.74,34.0,36.0
12,2011,2.42,2.11,-3.96,0.3,6.37,0.74,41.0,7.0
13,2012,20.48,16.0,16.6,4.47,3.88,0.74,30.0,12.0
14,2013,31.99,32.39,35.14,-0.4,-3.15,0.74,23.0,75.0
15,YTD,13.27,13.98,8.68,-0.71,4.59,0.74,25.0,9.0
