,Year,FMCBX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,37.54,21.04,60.49,16.5,-22.95,1.89,163.0,71.0
1,2000,30.54,-9.1,-4.78,39.64,35.31,1.85,251.0,2.0
2,2001,-13.71,-11.89,-19.98,-1.82,6.27,1.85,163.0,31.0
3,2002,-19.18,-22.1,-27.24,2.92,8.07,1.8,221.0,14.0
4,2003,42.96,28.68,35.96,14.28,7.01,1.84,1.84,18.0
5,2004,15.12,10.88,13.23,4.23,1.89,1.91,1.91,62.0
6,2005,7.5,4.91,9.84,2.59,-2.34,1.89,138.0,69.0
7,2006,12.29,15.79,9.0,-3.51,3.29,1.9,142.0,25.0
8,2007,8.82,5.49,15.09,3.32,-6.27,1.9,101.0,80.0
9,2008,-52.69,-37.0,-43.77,-15.69,-8.91,1.88,199.0,96.0
10,2009,45.59,26.46,39.11,19.13,6.48,1.57,244.0,27.0
11,2010,23.05,15.06,24.61,7.98,-1.57,1.61,141.0,65.0
12,2011,-5.82,2.11,-3.96,-7.93,-1.86,1.7,198.0,64.0
13,2012,18.37,16.0,14.07,2.37,4.3,1.73,72.0,14.0
14,2013,29.81,32.39,34.93,-2.58,-5.12,1.74,79.0,86.0
15,YTD,7.75,13.98,6.96,-6.22,0.79,0.79,0.79,44.0
