,Year,FMDTX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.82,-2.06,-4.34,-1.76,0.52,0.52,6.0,37.0
1,2000,11.69,11.68,11.02,0.0,0.66,0.72,12.0,23.0
2,2001,5.11,5.13,4.32,-0.01,0.8,0.73,13.0,15.0
3,2002,8.52,9.6,8.53,-1.08,-0.01,0.72,6.0,47.0
4,2003,5.04,5.31,4.79,-0.27,0.26,0.7,6.0,33.0
5,2004,4.32,4.48,3.84,-0.15,0.49,0.7,0.7,28.0
6,2005,4.21,3.51,2.96,0.7,1.25,0.7,12.0,5.0
7,2006,4.76,4.84,4.41,-0.08,0.34,0.69,8.0,25.0
8,2007,1.28,3.36,1.65,-2.08,-0.37,0.68,8.0,68.0
9,2008,-10.55,-2.47,-10.07,-8.08,-0.48,0.67,10.0,72.0
10,2009,19.73,12.91,19.1,6.81,0.63,0.67,9.0,30.0
11,2010,2.08,2.38,1.18,-0.3,0.9,0.66,7.0,25.0
12,2011,10.92,10.7,10.2,0.22,0.71,0.65,12.0,31.0
13,2012,6.19,6.78,7.57,-0.59,-1.38,0.65,12.0,84.0
14,2013,-5.88,-2.55,-5.66,-3.33,-0.22,0.65,20.0,69.0
15,YTD,9.73,8.5,9.57,1.23,0.16,0.65,12.0,36.0
