,Year,FMILX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,108.78,21.04,38.87,87.74,69.91,0.93,116.0,12.0
1,2000,-6.03,-9.1,-13.05,3.07,7.02,0.89,97.0,50.0
2,2001,-18.15,-11.89,-22.3,-6.27,4.15,0.98,97.0,43.0
3,2002,-19.87,-22.1,-27.64,2.23,7.77,1.02,108.0,16.0
4,2003,37.31,28.68,28.66,8.62,8.65,0.76,0.76,39.0
5,2004,4.28,10.88,7.81,-6.6,-3.53,0.92,0.92,97.0
6,2005,10.1,4.91,6.71,5.19,3.38,0.8,120.0,49.0
7,2006,13.53,15.79,7.05,-2.27,6.47,0.91,147.0,17.0
8,2007,16.48,5.49,13.35,10.99,3.13,0.93,87.0,41.0
9,2008,-40.23,-37.0,-40.67,-3.24,0.43,1.09,92.0,24.0
10,2009,40.24,26.46,35.68,13.77,4.55,1.03,125.0,50.0
11,2010,18.93,15.06,15.53,3.87,3.41,1.03,72.0,84.0
12,2011,2.52,2.11,-2.46,0.4,4.98,0.99,69.0,10.0
13,2012,15.66,16.0,15.34,-0.34,0.32,0.96,71.0,44.0
14,2013,37.19,32.39,33.92,4.8,3.27,0.87,49.0,19.0
15,YTD,7.54,13.98,10.79,-6.44,-3.25,-3.25,-3.25,84.0
