,Year,FMISX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.72,-2.06,-4.0,-1.66,0.28,0.28,7.0,42.0
1,2000,13.24,11.68,11.06,1.56,2.18,0.68,26.0,13.0
2,2001,4.18,5.13,4.24,-0.94,-0.06,0.7,16.0,55.0
3,2002,8.57,9.6,8.53,-1.03,0.04,0.69,6.0,49.0
4,2003,5.24,5.31,4.58,-0.07,0.67,0.67,16.0,16.0
5,2004,4.44,4.48,3.41,-0.04,1.02,0.67,0.67,13.0
6,2005,3.86,3.51,2.6,0.34,1.26,0.67,10.0,5.0
7,2006,4.45,4.84,4.08,-0.39,0.37,0.67,18.0,20.0
8,2007,2.9,3.36,1.82,-0.46,1.08,0.66,14.0,25.0
9,2008,-5.79,-2.47,-7.31,-3.32,1.52,0.66,22.0,55.0
10,2009,13.92,12.91,16.63,1.0,-2.71,0.66,7.0,54.0
11,2010,-0.56,2.38,1.08,-2.94,-1.65,0.67,7.0,93.0
12,2011,11.05,10.7,10.46,0.35,0.59,0.66,19.0,34.0
13,2012,7.19,6.78,6.97,0.41,0.23,0.66,14.0,44.0
14,2013,-5.3,-2.55,-5.11,-2.75,-0.19,0.65,20.0,56.0
15,YTD,10.29,8.5,8.55,1.78,1.74,0.66,7.0,14.0
