,Year,FMSFX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,1.89,-0.82,-1.35,2.71,3.24,3.24,183.0,1.0
1,2000,11.28,11.63,9.44,-0.35,1.84,0.67,99.0,35.0
2,2001,7.56,8.44,7.64,-0.89,-0.09,0.66,194.0,19.0
3,2002,9.12,10.26,8.04,-1.14,1.08,0.63,231.0,43.0
4,2003,3.55,4.1,5.1,-0.55,-1.55,0.6,0.6,3.0
5,2004,4.45,4.34,3.91,0.12,0.54,0.62,0.62,29.0
6,2005,2.48,2.43,1.8,0.05,0.68,0.55,183.0,15.0
7,2006,4.86,4.33,4.15,0.53,0.71,0.45,232.0,17.0
8,2007,-0.42,6.97,4.7,-7.38,-5.12,0.45,409.0,97.0
9,2008,1.29,5.24,-4.7,-3.95,5.99,0.45,397.0,28.0
10,2009,9.57,5.93,13.97,3.64,-4.41,0.45,476.0,72.0
11,2010,7.26,6.54,7.72,0.72,-0.46,0.45,527.0,55.0
12,2011,6.52,7.84,5.86,-1.32,0.66,0.45,490.0,42.0
13,2012,4.23,4.21,7.01,0.02,-2.78,0.45,451.0,82.0
14,2013,-1.8,-2.02,-1.42,0.22,-0.38,0.45,474.0,55.0
15,YTD,6.19,5.87,5.34,0.33,0.85,0.45,398.0,22.0
