,Year,FMTIX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,27.25,13.49,10.71,13.75,16.54,0.85,203.0,3.0
1,2000,-1.09,1.68,1.82,-2.77,-2.92,-2.92,86.0,62.0
2,2001,-4.18,-2.46,-5.05,-1.72,0.87,0.87,46.0,40.0
3,2002,-7.53,-6.69,-12.02,-0.83,4.5,0.96,9.0,13.0
4,2003,22.38,22.48,20.35,-0.1,2.03,0.98,16.0,29.0
5,2004,9.64,11.48,8.86,-1.84,0.78,1.68,4.0,37.0
6,2005,5.94,7.04,5.13,-1.1,0.82,0.69,11.0,32.0
7,2006,11.57,12.95,11.29,-1.39,0.28,0.5,9.0,41.0
8,2007,9.4,8.63,5.99,0.76,3.41,0.5,10.0,14.0
9,2008,-21.22,-22.19,-28.0,0.98,6.79,0.52,7.0,11.0
10,2009,24.68,21.77,24.13,2.9,0.55,0.5,14.0,45.0
11,2010,11.97,12.33,11.83,-0.36,0.14,0.5,14.0,49.0
12,2011,-1.49,0.59,-0.11,-2.08,-1.38,0.5,20.0,66.0
13,2012,9.34,12.04,11.72,-2.7,-2.37,0.5,25.0,87.0
14,2013,14.35,14.31,16.48,0.05,-2.12,0.59,46.0,75.0
15,YTD,5.18,5.81,6.95,-0.62,-1.77,-1.77,-1.77,82.0
