,Year,FNCMX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,,,,,,0.45,0.45,0.45
1,2004,8.6,10.88,7.81,-2.28,0.79,0.45,0.45,43.0
2,2005,1.9,4.91,6.71,-3.01,-4.81,0.45,10.0,87.0
3,2006,10.03,15.79,7.05,-5.76,2.98,0.42,7.0,23.0
4,2007,10.5,5.49,13.35,5.0,-2.86,0.35,18.0,67.0
5,2008,-40.04,-37.0,-40.67,-3.04,0.63,0.35,13.0,46.0
6,2009,44.96,26.46,35.68,18.49,9.28,0.35,3.0,13.0
7,2010,17.81,15.06,15.53,2.75,2.28,0.35,8.0,28.0
8,2011,-0.96,2.11,-2.46,-3.07,1.5,0.35,12.0,39.0
9,2012,17.33,16.0,15.34,1.32,1.99,0.35,10.0,27.0
10,2013,39.75,32.39,33.92,7.36,5.83,0.33,14.0,10.0
11,YTD,15.9,13.98,10.79,1.92,5.11,5.11,5.11,5.0
