,Year,FNIAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,,,,,,1.28,1.28,1.28
1,2004,18.76,10.88,7.81,7.87,10.95,1.17,1.17,11.0
2,2005,19.01,4.91,6.71,14.1,12.3,1.13,65.0,2.0
3,2006,11.06,15.79,7.05,-4.74,4.0,1.11,79.0,17.0
4,2007,20.26,5.49,13.35,14.77,6.91,1.08,57.0,17.0
5,2008,-37.91,-37.0,-40.67,-0.91,2.76,1.1,74.0,29.0
6,2009,29.12,26.46,35.68,2.65,-6.57,1.18,58.0,76.0
7,2010,16.07,15.06,15.53,1.0,0.54,1.13,47.0,43.0
8,2011,-1.04,2.11,-2.46,-3.15,1.42,1.07,58.0,39.0
9,2012,15.84,16.0,15.34,-0.16,0.5,1.0,47.0,41.0
10,2013,32.36,32.39,33.92,-0.02,-1.56,0.94,79.0,63.0
11,YTD,9.58,13.98,10.79,-4.4,-1.21,-1.21,-1.21,67.0
