,Year,FNORX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,59.51,30.63,30.63,28.88,28.88,1.23,70.0,7.0
1,2000,-8.49,-15.31,-15.31,6.83,6.83,1.15,80.0,48.0
2,2001,-27.89,-19.73,-19.73,-8.16,-8.16,1.2,88.0,93.0
3,2002,-18.27,-14.95,-14.95,-3.33,-3.33,1.3,119.0,51.0
4,2003,38.82,40.83,40.83,-2.01,-2.01,1.4,1.4,39.0
5,2004,32.72,20.91,20.91,11.81,11.81,1.24,1.24,18.0
6,2005,18.5,16.62,16.62,1.88,1.88,1.13,76.0,16.0
7,2006,36.67,26.65,26.65,10.02,10.02,1.1,67.0,26.0
8,2007,23.22,16.65,16.65,6.57,6.57,1.03,62.0,7.0
9,2008,-55.96,-45.53,-45.53,-10.44,-10.44,1.07,72.0,82.0
10,2009,47.49,41.45,41.45,6.04,6.04,1.12,107.0,24.0
11,2010,26.49,11.15,11.15,15.34,15.34,1.1,80.0,8.0
12,2011,-20.33,-13.71,-13.71,-6.63,-6.63,0.99,265.0,83.0
13,2012,21.64,16.83,16.83,4.81,4.81,1.04,193.0,52.0
14,2013,49.09,15.29,13.4,33.8,35.69,1.02,61.0,1.0
15,YTD,-2.37,-0.27,-4.41,-2.1,2.04,2.04,2.04,47.0
