,Year,FOCPX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,72.53,21.04,38.87,51.49,33.65,33.65,33.65,31.0
1,2000,-26.81,-9.1,-13.05,-17.7,-13.76,-13.76,196.0,93.0
2,2001,-24.07,-11.89,-22.3,-12.18,-1.76,0.94,219.0,60.0
3,2002,-23.29,-22.1,-27.64,-1.19,4.35,1.09,120.0,22.0
4,2003,35.8,28.68,28.66,7.12,7.14,1.12,116.0,13.0
5,2004,8.12,10.88,7.81,-2.76,0.32,0.89,0.89,47.0
6,2005,8.94,4.91,6.71,4.02,2.22,0.75,117.0,29.0
7,2006,9.45,15.79,7.05,-6.35,2.39,0.75,149.0,27.0
8,2007,26.14,5.49,13.35,20.64,12.78,0.95,121.0,7.0
9,2008,-45.98,-37.0,-40.67,-8.99,-5.32,1.05,145.0,88.0
10,2009,62.24,26.46,35.68,35.78,26.56,1.13,151.0,3.0
11,2010,20.14,15.06,15.53,5.08,4.62,1.04,163.0,13.0
12,2011,-0.42,2.11,-2.46,-2.53,2.04,0.92,158.0,32.0
13,2012,11.29,16.0,15.34,-4.71,-4.05,0.9,149.0,89.0
14,2013,46.5,32.39,33.92,14.11,12.58,0.74,116.0,2.0
15,YTD,17.21,13.98,10.79,3.24,6.42,0.76,106.0,3.0
