,Year,FOPAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,,,,,,1.54,46.0,46.0
1,2006,25.24,26.65,26.79,-1.41,-1.55,1.51,164.0,67.0
2,2007,2.67,16.65,12.03,-13.98,-9.36,1.59,107.0,91.0
3,2008,-58.54,-45.53,-49.02,-13.01,-9.51,1.62,61.0,92.0
4,2009,45.81,41.45,49.24,4.36,-3.43,0.89,174.0,56.0
5,2010,23.01,11.15,23.04,11.85,-0.03,1.15,49.0,39.0
6,2011,-9.8,-13.71,-14.72,3.91,4.92,1.32,24.0,10.0
7,2012,23.24,16.83,22.2,6.41,1.05,1.64,28.0,34.0
8,2013,24.56,15.29,26.61,9.27,-2.05,1.64,31.0,59.0
9,YTD,-1.81,-0.27,-3.86,-1.53,2.05,2.05,2.05,30.0
