,Year,FOSFX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,42.89,30.63,40.28,12.26,2.6,1.23,85.0,33.0
1,2000,-18.33,-15.31,-16.34,-3.02,-1.99,1.16,132.0,64.0
2,2001,-20.22,-19.73,-21.67,-0.49,1.45,1.12,95.0,38.0
3,2002,-19.45,-14.95,-16.69,-4.5,-2.76,1.16,72.0,78.0
4,2003,44.3,40.83,33.58,3.47,10.71,1.0,1.0,2.0
5,2004,13.54,20.91,17.39,-7.37,-3.85,1.01,1.01,89.0
6,2005,19.29,16.62,14.72,2.67,4.56,0.86,87.0,12.0
7,2006,20.49,26.65,24.77,-6.16,-4.28,0.9,132.0,91.0
8,2007,21.82,16.65,12.71,5.16,9.11,0.91,87.0,6.0
9,2008,-47.32,-45.53,-43.99,-1.79,-3.33,1.1,113.0,82.0
10,2009,25.19,41.45,31.24,-16.26,-6.05,0.98,115.0,81.0
11,2010,6.59,11.15,10.24,-4.56,-3.64,0.85,111.0,83.0
12,2011,-15.96,-13.71,-13.97,-2.26,-2.0,0.67,77.0,79.0
13,2012,25.04,16.83,18.29,8.21,6.76,0.67,90.0,5.0
14,2013,26.79,15.29,19.44,11.5,7.35,1.06,42.0,6.0
15,YTD,-1.56,-0.27,-1.63,-1.29,0.07,0.07,0.07,46.0
