,Year,FPURX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,2.86,13.49,10.71,-10.63,-7.85,-7.85,-7.85,84.0
1,2000,7.77,1.68,1.82,6.1,5.95,5.95,5.95,18.0
2,2001,-1.05,-2.46,-5.05,1.41,4.0,0.63,67.0,18.0
3,2002,-7.91,-6.69,-12.02,-1.22,4.11,0.64,79.0,15.0
4,2003,22.2,22.48,20.35,-0.28,1.85,0.66,86.0,31.0
5,2004,9.28,11.48,8.86,-2.2,0.42,0.64,0.64,43.0
6,2005,4.67,7.04,5.13,-2.38,-0.46,0.62,75.0,56.0
7,2006,14.78,12.95,11.29,1.82,3.49,0.62,78.0,8.0
8,2007,6.17,8.63,5.99,-2.46,0.18,0.59,70.0,49.0
9,2008,-29.16,-22.19,-28.0,-6.97,-1.16,0.6,115.0,58.0
10,2009,26.69,21.77,24.13,4.91,2.56,0.67,116.0,33.0
11,2010,14.04,12.33,11.83,1.71,2.21,0.61,104.0,13.0
12,2011,0.67,0.59,-0.11,0.08,0.78,0.59,154.0,38.0
13,2012,13.79,12.04,11.72,1.74,2.07,0.59,141.0,17.0
14,2013,20.34,14.31,16.48,6.03,3.86,0.57,229.0,16.0
15,YTD,11.01,5.81,6.95,5.2,4.06,0.56,160.0,4.0
