,Year,FRCIX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.56,-2.06,-4.6,-1.5,1.05,1.05,16.0,16.0
1,2000,12.48,11.68,12.79,0.8,-0.3,0.6,29.0,60.0
2,2001,4.67,5.13,3.84,-0.46,0.83,0.61,10.0,14.0
3,2002,7.82,9.6,8.03,-1.78,-0.21,0.61,17.0,55.0
4,2003,4.9,5.31,4.27,-0.42,0.63,0.61,10.0,19.0
5,2004,4.73,4.48,4.37,0.25,0.36,0.61,0.61,29.0
6,2005,4.49,3.51,3.93,0.98,0.56,0.61,4.0,18.0
7,2006,4.61,4.84,4.58,-0.23,0.03,0.61,6.0,42.0
8,2007,2.93,3.36,0.71,-0.43,2.22,0.61,7.0,4.0
9,2008,-6.9,-2.47,-11.05,-4.43,4.15,0.61,13.0,32.0
10,2009,11.6,12.91,17.38,-1.32,-5.79,0.61,13.0,91.0
11,2010,1.48,2.38,1.77,-0.9,-0.3,0.61,14.0,62.0
12,2011,12.39,10.7,11.74,1.68,0.64,0.61,12.0,20.0
13,2012,9.62,6.78,10.42,2.84,-0.8,0.6,12.0,57.0
14,2013,-3.35,-2.55,-3.71,-0.8,0.36,0.6,16.0,40.0
15,YTD,11.93,8.5,11.21,3.43,0.72,0.6,12.0,24.0
