,Year,FRIFX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,,,,,,0.94,41.0,41.0
1,2004,11.7,14.72,32.02,-3.02,-20.32,0.85,0.85,98.0
2,2005,5.07,9.49,11.51,-4.42,-6.44,0.85,30.0,94.0
3,2006,11.72,20.07,33.58,-8.34,-21.86,0.85,27.0,99.0
4,2007,-6.45,9.04,-14.66,-15.48,8.22,0.88,45.0,9.0
5,2008,-31.02,-40.71,-39.55,9.69,8.53,0.94,32.0,1.0
6,2009,46.82,29.99,31.26,16.83,15.56,1.0,47.0,9.0
7,2010,18.81,11.76,27.08,7.05,-8.27,0.96,28.0,96.0
8,2011,4.71,-5.54,7.51,10.25,-2.8,0.92,25.0,83.0
9,2012,18.84,15.83,17.6,3.02,1.24,0.89,27.0,16.0
10,2013,4.12,26.68,1.55,-22.56,2.57,0.84,26.0,6.0
11,YTD,12.26,6.66,25.93,5.61,-13.67,0.83,29.0,97.0
