,Year,FRKYX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-4.24,-2.06,-4.34,-2.18,0.1,0.1,10.0,48.0
1,2000,11.5,11.68,11.02,-0.18,0.48,0.45,16.0,28.0
2,2001,4.0,5.13,4.32,-1.13,-0.32,0.45,13.0,65.0
3,2002,8.31,9.6,8.53,-1.29,-0.22,0.52,6.0,55.0
4,2003,5.16,5.31,4.79,-0.15,0.38,0.6,7.0,29.0
5,2004,4.69,4.48,3.84,0.21,0.85,0.78,0.78,20.0
6,2005,3.95,3.51,2.96,0.44,0.99,0.71,12.0,10.0
7,2006,4.55,4.84,4.41,-0.3,0.13,0.75,9.0,32.0
8,2007,2.01,3.36,1.65,-1.35,0.36,0.75,2.0,44.0
9,2008,-5.48,-2.47,-10.07,-3.01,4.59,0.75,9.0,28.0
10,2009,14.46,12.91,19.1,1.55,-4.63,0.76,10.0,70.0
11,2010,1.42,2.38,1.18,-0.96,0.24,0.76,8.0,45.0
12,2011,10.09,10.7,10.2,-0.61,-0.12,0.74,13.0,53.0
13,2012,7.89,6.78,7.57,1.11,0.32,0.75,17.0,31.0
14,2013,-5.14,-2.55,-5.66,-2.59,0.52,0.74,7.0,47.0
15,YTD,9.7,8.5,9.57,1.2,0.13,0.76,11.0,37.0
