,Year,FRMCX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.98,21.04,6.78,-25.02,-10.76,1.27,14.0,77.0
1,2000,12.07,-9.1,18.64,21.17,-6.57,1.38,9.0,77.0
2,2001,41.28,-11.89,15.92,53.16,25.36,1.19,24.0,2.0
3,2002,4.01,-22.1,-10.12,26.11,14.13,1.18,28.0,1.0
4,2003,36.42,28.68,42.38,7.74,-5.96,1.23,1.23,74.0
5,2004,16.01,10.88,21.14,5.13,-5.14,1.12,1.12,93.0
6,2005,12.23,4.91,6.4,7.31,5.82,1.1,14.0,4.0
7,2006,19.94,15.79,16.27,4.14,3.67,1.11,6.0,18.0
8,2007,-4.21,5.49,-6.08,-9.7,1.87,1.07,10.0,37.0
9,2008,-30.26,-37.0,-32.24,6.74,1.98,1.11,12.0,40.0
10,2009,27.79,26.46,31.32,1.32,-3.53,1.17,11.0,58.0
11,2010,22.07,15.06,26.17,7.01,-4.09,1.17,8.0,82.0
12,2011,-0.14,2.11,-4.45,-2.25,4.31,1.16,9.0,16.0
13,2012,20.54,16.0,16.0,4.54,4.54,1.16,5.0,15.0
14,2013,35.67,32.39,36.22,3.29,-0.54,1.15,11.0,53.0
15,YTD,-5.31,13.98,1.3,-19.28,-6.61,-6.61,-6.61,95.0
