,Year,FRRAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,3.81,2.43,2.09,1.38,1.72,0.9,8.0,3.0
1,2006,5.2,4.33,0.09,0.87,5.11,0.9,4.0,1.0
2,2007,10.21,6.97,9.86,3.25,0.35,0.9,24.0,62.0
3,2008,-4.49,5.24,-4.08,-9.73,-0.41,0.9,28.0,76.0
4,2009,11.43,5.93,10.88,5.5,0.55,0.9,11.0,22.0
5,2010,6.03,6.54,5.94,-0.51,0.09,0.9,21.0,40.0
6,2011,0.54,7.84,10.93,-7.3,-10.39,0.9,38.0,98.0
7,2012,3.68,4.21,6.45,-0.54,-2.77,0.9,19.0,93.0
8,2013,0.15,-2.02,-7.85,2.17,8.0,0.9,28.0,1.0
9,YTD,0.19,5.87,3.23,-5.67,-3.04,-3.04,-3.04,88.0
