,Year,FSCRX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,23.3,-11.89,8.92,35.19,14.39,0.93,820.0,3.0
1,2002,-21.04,-22.1,-16.22,1.06,-4.82,0.92,338.0,24.0
2,2003,34.47,28.68,43.41,5.78,-8.94,0.86,242.0,87.0
3,2004,14.99,10.88,18.94,4.11,-3.95,0.99,0.99,36.0
4,2005,9.17,4.91,6.75,4.26,2.43,1.0,94.0,25.0
5,2006,9.45,15.79,15.03,-6.35,-5.58,1.05,191.0,91.0
6,2007,-2.65,5.49,-1.1,-8.15,-1.55,1.02,106.0,59.0
7,2008,-27.57,-37.0,-36.56,9.42,8.99,1.03,140.0,6.0
8,2009,50.69,26.46,31.8,24.22,18.88,1.05,114.0,9.0
9,2010,32.38,15.06,25.61,17.32,6.78,1.04,37.0,7.0
10,2011,0.36,2.11,-4.07,-1.75,4.43,1.04,11.0,12.0
11,2012,24.03,16.0,15.46,8.02,8.56,1.07,20.0,5.0
12,2013,38.22,32.39,37.39,5.83,0.83,1.05,26.0,40.0
13,YTD,4.21,13.98,1.83,-9.76,2.39,1.01,17.0,22.0
