,Year,FSDAX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,11.83,24.93,9.69,-13.11,2.13,2.13,2.13,75.0
1,2000,18.92,-13.18,8.96,32.09,9.96,1.59,146.0,9.0
2,2001,1.18,-16.82,0.46,18.0,0.72,1.49,86.0,67.0
3,2002,-6.8,-19.89,-17.88,13.08,11.08,1.19,76.0,1.0
4,2003,38.07,33.11,33.45,4.97,4.63,1.21,79.0,39.0
5,2004,19.54,14.72,21.3,4.82,-1.76,1.24,1.24,84.0
6,2005,17.94,9.49,9.97,8.45,7.96,1.0,38.0,13.0
7,2006,20.64,20.07,12.89,0.58,7.75,0.95,50.0,7.0
8,2007,17.81,9.04,8.77,8.78,9.04,0.92,82.0,18.0
9,2008,-40.17,-40.71,-37.69,0.54,-2.49,0.87,57.0,53.0
10,2009,24.87,29.99,26.94,-5.11,-2.06,0.88,58.0,42.0
11,2010,21.88,11.76,29.99,10.12,-8.1,0.94,70.0,100.0
12,2011,7.33,-5.54,-8.29,12.87,15.61,0.88,43.0,1.0
13,2012,13.51,15.83,18.96,-2.32,-5.45,0.86,56.0,86.0
14,2013,48.14,26.68,41.36,21.47,6.79,0.83,56.0,25.0
15,YTD,2.96,6.66,8.61,-3.7,-5.65,0.81,48.0,65.0
