,Year,FSELX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,106.68,24.93,129.22,81.74,-22.54,-22.54,-22.54,67.0
1,2000,-17.54,-13.18,-31.36,-4.36,13.82,0.98,125.0,14.0
2,2001,-14.73,-16.82,-36.89,2.1,22.17,0.87,63.0,11.0
3,2002,-50.54,-19.89,-42.86,-30.65,-7.68,0.97,57.0,85.0
4,2003,71.89,33.11,55.77,38.79,16.12,1.06,70.0,12.0
5,2004,-9.81,14.72,4.24,-24.53,-14.06,1.06,1.06,95.0
6,2005,15.75,9.49,5.76,6.26,9.99,0.89,119.0,4.0
7,2006,0.3,20.07,7.08,-19.77,-6.78,0.88,80.0,91.0
8,2007,4.67,9.04,16.12,-4.36,-11.45,0.89,97.0,92.0
9,2008,-49.87,-40.71,-45.33,-9.16,-4.54,0.86,87.0,78.0
10,2009,84.99,29.99,61.99,55.0,23.0,0.88,91.0,7.0
11,2010,16.84,11.76,20.0,5.07,-3.16,0.91,71.0,60.0
12,2011,-8.49,-5.54,-7.62,-2.95,-0.88,0.86,101.0,50.0
13,2012,3.6,15.83,13.08,-12.22,-9.48,0.83,137.0,93.0
14,2013,39.18,26.68,35.45,12.5,3.73,0.82,118.0,33.0
15,YTD,32.94,6.66,13.32,26.29,19.63,0.79,186.0,1.0
