,Year,FSEMX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,33.14,21.04,20.92,12.1,12.22,12.22,12.22,22.0
1,2000,-15.97,-9.1,6.36,-6.87,-22.33,0.27,33.0,93.0
2,2001,-8.76,-11.89,-3.12,3.12,-5.65,0.24,45.0,67.0
3,2002,-18.07,-22.1,-16.55,4.03,-1.52,0.25,34.0,64.0
4,2003,42.81,28.68,36.28,14.13,6.53,0.3,18.0,18.0
5,2004,17.88,10.88,16.3,7.0,1.58,0.4,0.4,30.0
6,2005,10.01,4.91,9.25,5.1,0.76,0.23,17.0,45.0
7,2006,15.35,15.79,14.03,-0.45,1.32,0.1,13.0,32.0
8,2007,5.38,5.49,4.85,-0.11,0.53,0.09,16.0,48.0
9,2008,-38.45,-37.0,-39.18,-1.45,0.74,0.09,17.0,49.0
10,2009,36.65,26.46,37.39,10.19,-0.74,0.1,16.0,37.0
11,2010,28.58,15.06,22.52,13.52,6.06,0.1,26.0,6.0
12,2011,-3.82,2.11,-3.81,-5.93,-0.01,0.1,8.0,55.0
13,2012,18.01,16.0,16.15,2.01,1.86,0.1,11.0,30.0
14,2013,38.19,32.39,34.1,5.8,4.08,0.1,10.0,20.0
15,YTD,6.61,13.98,7.43,-7.37,-0.82,0.1,14.0,66.0
