,Year,FSENX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,34.23,24.93,32.83,9.3,1.4,1.4,1.4,53.0
1,2000,31.77,-13.18,45.89,44.95,-14.12,1.25,124.0,55.0
2,2001,-11.97,-16.82,-13.13,4.85,1.16,1.12,124.0,48.0
3,2002,-11.48,-19.89,-11.49,8.4,0.01,1.12,119.0,60.0
4,2003,22.87,33.11,32.28,-10.23,-9.41,1.21,73.0,70.0
5,2004,31.7,14.72,33.42,16.98,-1.72,1.17,1.17,60.0
6,2005,52.02,9.49,46.33,42.53,5.68,0.93,91.0,27.0
7,2006,14.25,20.07,12.05,-5.82,2.19,0.89,128.0,30.0
8,2007,45.53,9.04,42.09,36.49,3.44,0.89,102.0,26.0
9,2008,-54.0,-40.71,-51.12,-13.29,-2.88,0.84,55.0,69.0
10,2009,47.09,29.99,44.36,17.1,2.73,0.83,148.0,27.0
11,2010,18.99,11.76,17.14,7.23,1.85,0.9,97.0,58.0
12,2011,-4.85,-5.54,-7.54,0.69,2.69,0.85,107.0,34.0
13,2012,4.64,15.83,1.21,-11.19,3.43,0.82,90.0,14.0
14,2013,24.21,26.68,22.85,-2.47,1.36,0.81,80.0,36.0
15,YTD,-11.95,6.66,-13.55,-18.61,1.59,0.8,98.0,43.0
