,Year,FSHBX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,3.29,-0.82,2.21,4.11,1.08,1.08,1.08,19.0
1,2000,7.85,11.63,7.59,-3.77,0.26,0.26,0.26,45.0
2,2001,7.63,8.44,7.27,-0.82,0.36,0.58,0.58,42.0
3,2002,6.71,10.26,5.47,-3.55,1.24,0.58,145.0,25.0
4,2003,3.57,4.1,2.54,-0.54,1.03,0.57,80.0,17.0
5,2004,1.86,4.34,1.63,-2.48,0.23,0.57,100.0,34.0
6,2005,2.17,2.43,1.45,-0.26,0.72,0.56,93.0,14.0
7,2006,4.6,4.33,4.05,0.27,0.55,0.44,55.0,18.0
8,2007,1.63,6.97,4.29,-5.34,-2.66,0.45,82.0,93.0
9,2008,-3.66,5.24,-4.23,-8.9,0.57,0.45,85.0,60.0
10,2009,7.35,5.93,9.3,1.41,-1.96,0.45,264.0,57.0
11,2010,3.79,6.54,4.11,-2.75,-0.32,0.45,233.0,50.0
12,2011,1.79,7.84,1.66,-6.06,0.12,0.45,223.0,40.0
13,2012,2.37,4.21,3.67,-1.85,-1.3,0.45,71.0,75.0
14,2013,0.57,-2.02,0.45,2.6,0.12,0.45,68.0,44.0
15,YTD,1.21,5.87,1.45,-4.66,-0.24,0.45,76.0,55.0
