,Year,FSIIX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,29.07,30.63,40.28,-1.56,-11.22,-11.22,-11.22,71.0
1,2000,-14.9,-15.31,-16.34,0.41,1.44,0.35,3.0,36.0
2,2001,-21.85,-19.73,-21.67,-2.12,-0.18,0.35,4.0,51.0
3,2002,-15.99,-14.95,-16.69,-1.04,0.7,0.35,12.0,39.0
4,2003,38.34,40.83,33.58,-2.49,4.76,0.39,19.0,18.0
5,2004,19.86,20.91,17.39,-1.05,2.47,0.47,0.47,18.0
6,2005,13.73,16.62,14.72,-2.88,-0.99,0.25,6.0,55.0
7,2006,26.15,26.65,24.77,-0.5,1.39,0.1,2.0,33.0
8,2007,10.72,16.65,12.71,-5.94,-2.0,0.1,2.0,64.0
9,2008,-41.43,-45.53,-43.99,4.09,2.56,0.1,4.0,21.0
10,2009,28.48,41.45,31.24,-12.96,-2.76,0.1,4.0,62.0
11,2010,7.7,11.15,10.24,-3.45,-2.54,0.1,2.0,74.0
12,2011,-12.15,-13.71,-13.97,1.56,1.82,0.1,1.0,26.0
13,2012,18.69,16.83,18.29,1.86,0.4,0.11,9.0,40.0
14,2013,21.7,15.29,19.44,6.41,2.26,0.2,1.0,28.0
15,YTD,-1.76,-0.27,-1.63,-1.49,-0.13,0.2,2.0,49.0
