,Year,FSINX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,5.45,-0.82,2.89,6.27,2.56,1.78,146.0,22.0
1,2000,2.73,11.63,1.73,-8.89,1.0,1.8,99.0,36.0
2,2001,5.74,8.44,4.22,-2.71,1.52,1.81,123.0,39.0
3,2002,8.36,10.26,6.76,-1.9,1.6,1.78,111.0,30.0
4,2003,18.29,4.1,16.18,14.19,2.12,1.77,1.77,44.0
5,2004,8.44,4.34,8.38,4.1,0.07,1.78,1.78,45.0
6,2005,2.06,2.43,2.12,-0.37,-0.06,1.75,109.0,55.0
7,2006,6.72,4.33,6.9,2.39,-0.18,1.75,81.0,55.0
8,2007,4.41,6.97,4.45,-2.56,-0.03,1.74,149.0,58.0
9,2008,-11.6,5.24,-15.41,-16.84,3.82,1.75,255.0,35.0
10,2009,30.71,5.93,29.22,24.78,1.49,1.72,202.0,37.0
11,2010,8.75,6.54,10.86,2.21,-2.11,1.7,207.0,76.0
12,2011,3.71,7.84,3.37,-4.13,0.35,1.69,221.0,45.0
13,2012,9.66,4.21,11.71,5.44,-2.05,1.69,126.0,75.0
14,2013,-0.55,-2.02,1.87,1.48,-2.42,1.69,135.0,78.0
15,YTD,4.13,5.87,4.67,-1.74,-0.54,-0.54,-0.54,61.0
