,Year,FSLCX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,42.65,21.04,19.95,21.61,22.7,22.7,22.7,64.0
1,2000,11.84,-9.1,11.89,20.95,-0.05,1.13,120.0,14.0
2,2001,6.44,-11.89,8.92,18.33,-2.47,1.07,126.0,14.0
3,2002,-15.73,-22.1,-16.22,6.37,0.49,1.07,132.0,7.0
4,2003,45.04,28.68,43.41,16.36,1.63,1.1,116.0,44.0
5,2004,14.57,10.88,18.94,3.69,-4.37,1.08,1.08,81.0
6,2005,8.09,4.91,6.75,3.17,1.34,1.0,99.0,34.0
7,2006,12.37,15.79,15.03,-3.42,-2.66,0.93,107.0,74.0
8,2007,7.7,5.49,-1.1,2.21,8.8,0.94,115.0,8.0
9,2008,-42.91,-37.0,-36.56,-5.91,-6.35,1.07,115.0,88.0
10,2009,62.65,26.46,31.8,36.19,30.85,0.95,92.0,3.0
11,2010,22.96,15.06,25.61,7.9,-2.65,1.23,60.0,74.0
12,2011,-15.6,2.11,-4.07,-17.71,-11.53,1.12,47.0,98.0
13,2012,12.99,16.0,15.46,-3.01,-2.47,1.1,104.0,77.0
14,2013,29.79,32.39,37.39,-2.6,-7.6,0.69,75.0,93.0
15,YTD,5.58,13.98,1.83,-8.4,3.75,0.67,50.0,11.0
