,Year,FSLEX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-25.85,24.93,9.69,-50.79,-35.55,-35.55,-35.55,100.0
1,2000,34.49,-13.18,8.96,47.66,25.53,2.39,206.0,4.0
2,2001,-9.33,-16.82,0.46,7.49,-9.79,1.88,168.0,91.0
3,2002,-16.37,-19.89,-17.88,3.52,1.51,1.98,109.0,62.0
4,2003,28.97,33.11,33.45,-4.13,-4.47,2.45,67.0,61.0
5,2004,7.44,14.72,21.3,-7.28,-13.86,2.5,2.5,94.0
6,2005,9.37,9.49,9.97,-0.11,-0.6,1.74,220.0,22.0
7,2006,10.49,20.07,12.89,-9.58,-2.4,1.25,166.0,87.0
8,2007,12.44,9.04,8.77,3.4,3.67,1.09,224.0,32.0
9,2008,-30.45,-40.71,-37.69,10.27,7.24,1.07,76.0,35.0
10,2009,17.16,29.99,26.94,-12.83,-9.78,1.06,107.0,100.0
11,2010,14.93,11.76,29.99,3.17,-15.06,1.08,132.0,64.0
12,2011,-14.3,-5.54,-8.29,-8.76,-6.02,1.07,190.0,43.0
13,2012,14.15,15.83,18.96,-1.68,-4.81,1.0,183.0,82.0
14,2013,34.99,26.68,41.36,8.31,-6.37,0.97,54.0,82.0
15,YTD,1.97,6.66,8.61,-4.69,-6.64,0.97,28.0,79.0
