,Year,FSLVX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2002,-17.16,-22.1,-18.69,4.94,1.54,1.2,81.0,37.0
1,2003,25.95,28.68,28.44,-2.73,-2.48,1.19,95.0,68.0
2,2004,17.73,10.88,12.97,6.84,4.76,1.18,1.18,9.0
3,2005,11.21,4.91,5.95,6.3,5.26,1.05,170.0,7.0
4,2006,17.11,15.79,18.15,1.31,-1.04,0.84,175.0,65.0
5,2007,3.74,5.49,1.42,-1.76,2.31,0.89,164.0,32.0
6,2008,-39.7,-37.0,-37.09,-2.7,-2.61,0.85,204.0,72.0
7,2009,15.63,26.46,24.13,-10.83,-8.5,0.86,243.0,90.0
8,2010,9.33,15.06,13.66,-5.73,-4.33,0.84,171.0,95.0
9,2011,-0.28,2.11,-0.75,-2.39,0.47,0.72,120.0,44.0
10,2012,16.25,16.0,14.57,0.24,1.68,0.56,128.0,32.0
11,2013,32.24,32.39,31.21,-0.15,1.03,0.55,63.0,40.0
12,YTD,13.38,13.98,10.25,-0.6,3.13,0.71,64.0,8.0
