,Year,FSMEX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,10.72,24.93,18.58,-14.21,-7.86,-7.86,-7.86,43.0
1,2000,50.37,-13.18,56.75,63.55,-6.38,1.65,101.0,54.0
2,2001,0.32,-16.82,-11.26,17.15,11.58,1.23,64.0,20.0
3,2002,-6.24,-19.89,-28.13,13.64,21.89,1.23,87.0,1.0
4,2003,33.36,33.11,32.51,0.25,0.85,1.29,82.0,37.0
5,2004,17.48,14.72,9.84,2.76,7.64,1.15,1.15,5.0
6,2005,7.45,9.49,9.64,-2.03,-2.19,0.98,28.0,71.0
7,2006,4.08,20.07,4.27,-15.99,-0.19,0.92,99.0,51.0
8,2007,17.87,9.04,9.27,8.84,8.61,0.92,71.0,10.0
9,2008,-23.38,-40.71,-23.43,17.33,0.05,0.88,129.0,35.0
10,2009,32.63,29.99,22.48,2.64,10.15,0.87,116.0,7.0
11,2010,12.71,11.76,8.38,0.95,4.33,0.9,83.0,21.0
12,2011,-3.42,-5.54,7.66,2.12,-11.08,0.86,92.0,99.0
13,2012,15.62,15.83,21.55,-0.21,-5.93,0.84,120.0,82.0
14,2013,41.3,26.68,48.17,14.62,-6.87,0.82,69.0,83.0
15,YTD,24.7,6.66,26.63,18.04,-1.94,0.79,75.0,73.0
