,Year,FSPCX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-5.95,24.93,-1.79,-30.88,-4.16,-4.16,-4.16,70.0
1,2000,53.26,-13.18,27.74,66.44,25.52,1.36,107.0,2.0
2,2001,-4.91,-16.82,-2.05,11.92,-2.85,1.16,96.0,45.0
3,2002,-5.64,-19.89,-10.28,14.24,4.64,1.17,104.0,23.0
4,2003,27.47,33.11,33.56,-5.64,-6.09,1.24,95.0,93.0
5,2004,12.79,14.72,14.02,-1.93,-1.22,1.23,1.23,54.0
6,2005,13.76,9.49,6.74,4.27,7.02,1.04,50.0,8.0
7,2006,11.34,20.07,16.9,-8.72,-5.56,1.02,44.0,89.0
8,2007,-4.35,9.04,-11.64,-13.38,7.29,0.98,58.0,12.0
9,2008,-46.99,-40.71,-43.91,-6.28,-3.08,0.93,60.0,58.0
10,2009,21.83,29.99,25.26,-8.16,-3.43,0.97,426.0,59.0
11,2010,20.13,11.76,11.13,8.37,9.0,0.97,215.0,6.0
12,2011,-5.16,-5.54,-15.12,0.38,9.96,0.91,193.0,5.0
13,2012,19.67,15.83,24.77,3.84,-5.11,0.88,153.0,75.0
14,2013,43.8,26.68,34.57,17.12,9.23,0.85,157.0,12.0
15,YTD,8.49,6.66,4.86,1.83,3.63,0.82,126.0,28.0
