,Year,FSPTX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,131.75,24.93,129.22,106.82,2.53,2.53,2.53,49.0
1,2000,-32.3,-13.18,-31.36,-19.12,-0.94,1.04,210.0,55.0
2,2001,-31.7,-16.82,-36.89,-14.87,5.2,0.94,136.0,32.0
3,2002,-37.79,-19.89,-42.86,-17.9,5.07,1.13,184.0,19.0
4,2003,59.39,33.11,55.77,26.28,3.62,1.22,153.0,31.0
5,2004,0.43,14.72,4.24,-14.29,-3.81,1.14,1.14,69.0
6,2005,4.92,9.49,5.76,-4.57,-0.84,0.94,104.0,55.0
7,2006,7.51,20.07,7.08,-12.56,0.43,0.93,100.0,41.0
8,2007,19.78,9.04,16.12,10.75,3.66,0.95,113.0,30.0
9,2008,-51.09,-40.71,-45.33,-10.38,-5.76,0.88,204.0,88.0
10,2009,90.29,29.99,61.99,60.3,28.3,0.89,235.0,6.0
11,2010,26.69,11.76,20.0,14.92,6.69,0.89,127.0,16.0
12,2011,-9.56,-5.54,-7.62,-4.02,-1.94,0.83,136.0,61.0
13,2012,17.16,15.83,13.08,1.34,4.08,0.81,196.0,26.0
14,2013,31.76,26.68,35.45,5.09,-3.68,0.79,140.0,59.0
15,YTD,12.06,6.66,13.32,5.41,-1.25,0.77,181.0,53.0
