,Year,FSRAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,,,,,,1.0,78.0,78.0
1,2006,4.69,12.95,8.16,-8.26,-3.47,0.99,11.0,95.0
2,2007,3.4,8.63,4.53,-5.24,-1.14,1.01,19.0,73.0
3,2008,-23.55,-22.19,-18.61,-1.36,-4.94,1.01,40.0,75.0
4,2009,28.02,21.77,20.77,6.24,7.25,1.03,38.0,14.0
5,2010,13.69,12.33,10.03,1.36,3.66,1.02,29.0,7.0
6,2011,1.36,0.59,1.7,0.77,-0.34,1.01,35.0,57.0
7,2012,7.87,12.04,9.4,-4.18,-1.53,1.03,15.0,75.0
8,2013,-2.37,14.31,7.23,-16.67,-9.6,1.03,23.0,97.0
9,YTD,3.07,5.81,4.98,-2.73,-1.91,1.05,18.0,88.0
