,Year,FSRPX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,5.2,24.93,14.76,-19.74,-9.56,-9.56,-9.56,92.0
1,2000,-11.27,-13.18,-14.28,1.91,3.02,1.2,88.0,54.0
2,2001,-2.39,-16.82,-1.13,14.44,-1.26,1.29,328.0,43.0
3,2002,-18.94,-19.89,-17.74,0.94,-1.2,1.16,280.0,70.0
4,2003,31.1,33.11,30.18,-2.01,0.92,1.25,149.0,42.0
5,2004,16.1,14.72,12.53,1.38,3.57,1.28,1.28,21.0
6,2005,7.14,9.49,-0.22,-2.35,7.36,1.03,94.0,1.0
7,2006,15.17,20.07,16.06,-4.9,-0.89,1.04,114.0,46.0
8,2007,-7.97,9.04,-6.83,-17.0,-1.14,1.06,202.0,42.0
9,2008,-29.58,-40.71,-39.8,11.13,10.22,1.02,260.0,5.0
10,2009,57.82,29.99,37.84,27.83,19.99,1.06,504.0,1.0
11,2010,28.06,11.76,27.35,16.29,0.7,0.94,281.0,55.0
12,2011,3.36,-5.54,1.58,8.9,1.77,0.93,191.0,41.0
13,2012,24.83,15.83,22.64,9.01,2.19,0.88,217.0,32.0
14,2013,43.93,26.68,37.14,17.26,6.8,0.84,119.0,8.0
15,YTD,9.22,6.66,6.5,2.56,2.71,0.82,72.0,4.0
