,Year,FSTCX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,66.6,24.93,62.7,41.66,3.89,3.89,3.89,29.0
1,2000,-37.41,-13.18,-33.17,-24.23,-4.24,1.09,173.0,70.0
2,2001,-27.97,-16.82,-32.88,-11.14,4.91,1.84,160.0,30.0
3,2002,-29.32,-19.89,-39.5,-9.44,10.18,1.2,169.0,12.0
4,2003,25.51,33.11,44.35,-7.59,-18.83,1.34,163.0,78.0
5,2004,17.55,14.72,21.32,2.83,-3.77,1.34,1.34,59.0
6,2005,5.15,9.49,7.66,-4.33,-2.51,1.02,56.0,54.0
7,2006,26.78,20.07,19.96,6.72,6.83,0.96,148.0,25.0
8,2007,8.2,9.04,11.05,-0.84,-2.85,0.97,162.0,59.0
9,2008,-47.64,-40.71,-49.47,-6.93,1.83,0.9,134.0,36.0
10,2009,51.56,29.99,40.74,21.58,10.82,0.96,168.0,33.0
11,2010,18.32,11.76,19.92,6.56,-1.6,0.98,90.0,59.0
12,2011,-4.24,-5.54,-5.31,1.3,1.07,0.91,72.0,45.0
13,2012,18.64,15.83,16.71,2.82,1.93,0.88,72.0,14.0
14,2013,21.52,26.68,26.34,-5.15,-4.82,0.85,76.0,65.0
15,YTD,6.4,6.66,4.39,-0.26,2.0,0.82,111.0,10.0
