,Year,FSTFX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,1.61,-2.06,0.74,3.67,0.88,0.88,0.88,22.0
1,2000,6.2,11.68,5.87,-5.48,0.33,0.54,0.54,34.0
2,2001,5.7,5.13,4.77,0.57,0.93,0.41,43.0,2.0
3,2002,6.47,9.6,5.39,-3.13,1.08,0.45,38.0,28.0
4,2003,3.01,5.31,2.44,-2.31,0.57,0.47,0.47,24.0
5,2004,1.82,4.48,1.19,-2.66,0.63,0.47,0.47,14.0
6,2005,1.06,3.51,1.21,-2.46,-0.16,0.42,27.0,57.0
7,2006,2.97,4.84,2.95,-1.87,0.02,0.41,28.0,51.0
8,2007,4.41,3.36,3.31,1.05,1.1,0.49,23.0,2.0
9,2008,3.5,-2.47,0.86,5.98,2.64,0.47,20.0,17.0
10,2009,5.64,12.91,5.91,-7.27,-0.27,0.5,8.0,54.0
11,2010,2.02,2.38,1.61,-0.36,0.41,0.48,15.0,30.0
12,2011,4.34,10.7,3.6,-6.36,0.75,0.48,22.0,32.0
13,2012,2.24,6.78,1.92,-4.54,0.32,0.47,21.0,31.0
14,2013,0.1,-2.55,-0.07,2.66,0.18,0.48,20.0,55.0
15,YTD,2.38,8.5,1.6,-6.13,0.77,0.77,0.77,22.0
