,Year,FSTGX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,0.64,-0.82,-1.35,1.46,1.99,1.99,1.99,68.0
1,2000,10.33,11.63,10.86,-1.29,-0.53,-0.53,-0.53,5.0
2,2001,7.93,8.44,6.81,-0.51,1.12,0.6,114.0,19.0
3,2002,10.23,10.26,9.23,-0.02,1.0,0.59,129.0,1.0
4,2003,1.92,4.1,1.9,-2.18,0.02,0.6,229.0,41.0
5,2004,2.4,4.34,3.01,-1.94,-0.61,0.6,0.6,75.0
6,2005,1.45,2.43,1.91,-0.98,-0.46,0.57,90.0,74.0
7,2006,3.67,4.33,3.47,-0.67,0.2,0.45,97.0,39.0
8,2007,7.89,6.97,6.09,0.92,1.8,0.45,121.0,10.0
9,2008,10.08,5.24,4.76,4.84,5.33,0.45,318.0,12.0
10,2009,0.87,5.93,4.74,-5.06,-3.87,0.45,305.0,78.0
11,2010,4.74,6.54,5.66,-1.8,-0.92,0.45,227.0,72.0
12,2011,5.71,7.84,6.7,-2.13,-0.98,0.45,258.0,72.0
13,2012,1.97,4.21,2.8,-2.25,-0.83,0.45,198.0,72.0
14,2013,-1.26,-2.02,-2.72,0.76,1.46,0.45,179.0,10.0
15,YTD,2.98,5.87,4.77,-2.88,-1.79,0.45,153.0,97.0
