,Year,FSVLX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-12.37,24.93,-1.79,-37.3,-10.58,-10.58,-10.58,86.0
1,2000,50.23,-13.18,27.74,63.41,22.49,1.37,91.0,8.0
2,2001,-3.17,-16.82,-2.05,13.65,-1.12,1.27,78.0,36.0
3,2002,-0.7,-19.89,-10.28,19.18,9.58,1.12,72.0,11.0
4,2003,36.92,33.11,33.56,3.81,3.36,1.11,78.0,28.0
5,2004,13.22,14.72,14.02,-1.5,-0.79,1.1,1.1,49.0
6,2005,-7.03,9.49,6.74,-16.52,-13.77,0.96,37.0,100.0
7,2006,12.16,20.07,16.9,-7.9,-4.74,0.94,76.0,87.0
8,2007,-37.96,9.04,-11.64,-47.0,-26.32,0.93,52.0,98.0
9,2008,-58.55,-40.71,-43.91,-17.84,-14.65,0.92,36.0,87.0
10,2009,1.86,29.99,25.26,-28.12,-23.39,0.99,79.0,91.0
11,2010,5.93,11.76,11.13,-5.84,-5.21,1.02,153.0,78.0
12,2011,-0.99,-5.54,-15.12,4.55,14.12,0.98,161.0,1.0
13,2012,34.46,15.83,24.77,18.64,9.69,0.95,113.0,6.0
14,2013,32.57,26.68,34.57,5.9,-1.99,0.86,79.0,53.0
15,YTD,8.33,6.66,4.86,1.67,3.47,0.83,89.0,29.0
