,Year,FTBFX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,5.87,4.1,5.1,1.77,0.77,0.65,336.0,26.0
1,2004,5.47,4.34,3.91,1.13,1.56,0.65,0.65,7.0
2,2005,2.46,2.43,1.8,0.03,0.66,0.61,193.0,16.0
3,2006,5.15,4.33,4.15,0.81,1.0,0.45,99.0,13.0
4,2007,4.13,6.97,4.7,-2.83,-0.57,0.45,116.0,73.0
5,2008,-5.56,5.24,-4.7,-10.8,-0.87,0.45,122.0,57.0
6,2009,19.8,5.93,13.97,13.87,5.82,0.45,104.0,15.0
7,2010,8.55,6.54,7.72,2.01,0.84,0.45,130.0,29.0
8,2011,7.4,7.84,5.86,-0.44,1.54,0.45,168.0,18.0
9,2012,6.51,4.21,7.01,2.3,-0.49,0.45,155.0,53.0
10,2013,-0.92,-2.02,-1.42,1.1,0.5,0.45,201.0,28.0
11,YTD,5.94,5.87,5.34,0.07,0.59,0.45,108.0,31.0
